,Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
0,435,Club Penguin: Elite Penguin Force,DS,2008.0,Adventure,Disney Interactive Studios,1.88,0.98,0.0,0.3,3.16
1,13444,Secret Files: Tunguska,PC,2006.0,Adventure,DreamCatcher Interactive,0.0,0.04,0.0,0.01,0.05
2,10126,ECW Anarchy Rulz,PS,1999.0,Fighting,Acclaim Entertainment,0.06,0.04,0.0,0.01,0.11
3,7585,Taiko no Tatsujin: Waku Waku Anime Matsuri,PS2,2003.0,Misc,Namco Bandai Games,0.0,0.0,0.2,0.0,0.2
4,10242,Breakout,PS,1999.0,Puzzle,Hasbro Interactive,0.06,0.04,0.0,0.01,0.11
5,12336,Famicom Mini: Balloon Fight,GBA,2004.0,Action,Nintendo,0.0,0.0,0.06,0.0,0.06
6,3727,Let's Draw!,DS,2008.0,Misc,Ubisoft,0.24,0.23,0.0,0.06,0.54
7,3296,Dora the Explorer: Super Spies,GBA,2004.0,Platform,Gotham Games,0.44,0.16,0.0,0.01,0.61
8,9819,Earthworm Jim 3D,N64,1999.0,Platform,Interplay,0.1,0.02,0.0,0.0,0.12
9,10106,PDC World Championship Darts: Pro Tour,Wii,2010.0,Sports,O-Games,0.0,0.1,0.0,0.01,0.11
10,5516,Cabela's Dangerous Hunts 2011,PS3,2010.0,Sports,Activision,0.26,0.04,0.0,0.03,0.33
11,7000,Jeremy McGrath Supercross World,PS2,2001.0,Racing,Acclaim Entertainment,0.11,0.09,0.0,0.03,0.23
12,8018,Ringling Bros. and Barnum & Bailey Circus,Wii,2009.0,Action,Take-Two Interactive,0.17,0.0,0.0,0.01,0.18
13,6291,Burstrick: Wake Boarding!!,PS,2000.0,Sports,Natsume,0.15,0.1,0.0,0.02,0.27
14,11210,Knights Contract,PS3,2011.0,Action,Namco Bandai Games,0.04,0.03,0.0,0.01,0.09
15,6112,VMX Racing,PS,1997.0,Racing,Playmates,0.16,0.11,0.0,0.02,0.28
16,8608,Scripps Spelling Bee,DS,2010.0,Simulation,THQ,0.15,0.0,0.0,0.01,0.16
17,13,Pokemon Gold/Pokemon Silver,GB,1999.0,Role-Playing,Nintendo,9.0,6.18,7.2,0.71,23.1
18,1425,Tom Clancy's Ghost Recon 2,XB,2004.0,Shooter,Ubisoft,0.86,0.45,0.0,0.06,1.36
19,4206,Major League Baseball 2K13,X360,2013.0,Sports,Take-Two Interactive,0.44,0.0,0.0,0.03,0.47
20,7610,Injustice: Gods Among Us,WiiU,2013.0,Fighting,Warner Bros. Interactive Entertainment,0.1,0.08,0.0,0.02,0.2
21,2745,The Amazing Spider-Man (Console Version),X360,2012.0,Action,Activision,0.43,0.26,0.0,0.06,0.75
22,3926,Final Fantasy II Anniversary Edition,PSP,2007.0,Role-Playing,Square Enix,0.36,0.03,0.07,0.04,0.51
23,1567,Sonic Adventure DX: Director's Cut,GC,2003.0,Platform,Sega,0.87,0.3,0.06,0.03,1.27
24,10911,Championship Foosball,Wii,2008.0,Sports,505 Games,0.09,0.0,0.0,0.01,0.09
25,12951,Persona 2: Eternal Punishment,PSP,2012.0,Role-Playing,Atlus,0.0,0.0,0.05,0.0,0.05
26,14026,Ray Gigant,PSV,2015.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.04,0.0,0.04
27,9412,My Baby: First Steps,Wii,2009.0,Simulation,SouthPeak Games,0.12,0.0,0.0,0.01,0.13
28,7913,Gallop Racer,PS,1999.0,Sports,Tecmo Koei,0.0,0.0,0.18,0.01,0.19
29,10730,Cubic Ninja,3DS,2011.0,Platform,Ubisoft,0.05,0.04,0.0,0.01,0.1
30,904,Mario Party 3,N64,2000.0,Misc,Nintendo,0.72,0.16,1.01,0.02,1.91
31,5483,BeatMania Append GottaMix,PS,1999.0,Simulation,Konami Digital Entertainment,0.0,0.0,0.31,0.02,0.33
32,3456,Kinect Sports Rivals,XOne,2014.0,Sports,Microsoft Game Studios,0.3,0.22,0.02,0.04,0.58
33,13560,Corpse Party: Book of Shadows,PSP,2011.0,Adventure,5pb,0.0,0.0,0.04,0.0,0.04
34,8491,Guilty Gear Judgment,PSP,2006.0,Fighting,Majesco Entertainment,0.13,0.0,0.02,0.01,0.16
35,6089,World of Warcraft: Legion,PC,2016.0,Role-Playing,Activision,0.14,0.12,0.0,0.02,0.29
36,15057,NANA: Live Staff Daiboshuu! Shoshinsha Kangei,DS,2007.0,Action,Konami Digital Entertainment,0.0,0.0,0.02,0.0,0.02
37,16106,Kana: Imouto,PSP,2010.0,Adventure,CyberFront,0.0,0.0,0.01,0.0,0.01
38,5813,Bruce Lee: Quest of the Dragon,XB,2002.0,Fighting,Universal Interactive,0.23,0.07,0.0,0.01,0.31
39,12565,Attack on Titan (KOEI),PS3,2016.0,Action,Tecmo Koei,0.0,0.0,0.06,0.0,0.06
40,7143,Sword Art Online: Infinity Moment,PSP,2013.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.22,0.0,0.22
41,16446,Heart no Kuni no Alice: Wonderful Twin World,PSP,2014.0,Adventure,Quinrose,0.0,0.0,0.01,0.0,0.01
42,7404,Hot Shots Tennis: Get a Grip,PSP,2010.0,Sports,Sony Computer Entertainment,0.06,0.0,0.13,0.01,0.21
43,2042,Pong: The Next Level,PS,1998.0,Puzzle,Hasbro Interactive,0.56,0.38,0.0,0.07,1.01
44,1583,Winter Sports: The Ultimate Challenge,Wii,2007.0,Sports,RTL,0.45,0.68,0.0,0.12,1.26
45,14795,AMNESIA World,PSV,2014.0,Adventure,Idea Factory,0.0,0.0,0.03,0.0,0.03
46,12236,Lego Star Wars: The Force Awakens,3DS,2016.0,Action,Warner Bros. Interactive Entertainment,0.02,0.04,0.0,0.0,0.07
47,10688,Tales of Innocence R,PSV,2012.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.1,0.0,0.1
48,1484,Middle-Earth: Shadow of Mordor,XOne,2014.0,Action,Warner Bros. Interactive Entertainment,0.72,0.5,0.01,0.1,1.32
49,5219,Breath of Fire II,SNES,1994.0,Role-Playing,Laguna,0.0,0.0,0.36,0.0,0.36
50,987,Dead or Alive 3,XB,2001.0,Fighting,Microsoft Game Studios,1.19,0.29,0.24,0.06,1.77
51,3331,Littlest Pet Shop: Jungle,DS,2008.0,Simulation,Electronic Arts,0.34,0.2,0.0,0.06,0.61
52,9396,MLB 11: The Show,PS2,2011.0,Sports,Sony Computer Entertainment,0.06,0.05,0.0,0.02,0.13
53,1320,BioShock,PS3,2008.0,Shooter,Take-Two Interactive,0.75,0.49,0.01,0.21,1.45
54,5803,Blade II,PS2,2002.0,Action,Activision,0.15,0.12,0.0,0.04,0.31
55,6547,Loving Life with Hello Kitty & Friends,DS,2011.0,Misc,Rising Star Games,0.15,0.08,0.0,0.02,0.26
56,14946,Pop'n Music 12 Iroha,PS2,2006.0,Simulation,Konami Digital Entertainment,0.0,0.0,0.02,0.0,0.02
57,4111,OkamiDen,DS,2010.0,Adventure,Capcom,0.25,0.07,0.13,0.03,0.48
58,9779,NPPL: Championship Paintball 2009,X360,2008.0,Shooter,Activision Value,0.1,0.01,0.0,0.01,0.12
59,14721,Aegis of Earth: Protonovus Assault,PS3,2016.0,Action,PQube,0.01,0.01,0.0,0.0,0.03
60,2315,James Bond 007: Agent Under Fire,XB,2002.0,Shooter,Electronic Arts,0.65,0.22,0.0,0.03,0.9
61,9982,ASH: Archaic Sealed Heat,DS,2007.0,Role-Playing,Nintendo,0.0,0.0,0.12,0.0,0.12
62,12763,Myst,SAT,1994.0,Adventure,Sunsoft,0.0,0.0,0.06,0.0,0.06
63,6987,Me & My Katamari,PSP,2005.0,Puzzle,Namco Bandai Games,0.13,0.02,0.08,0.0,0.23
64,7449,ESPN Winter X Games: Snowboarding 2002,PS2,2000.0,Sports,Konami Digital Entertainment,0.1,0.08,0.0,0.03,0.21
65,2919,Jade Empire,XB,2005.0,Role-Playing,Microsoft Game Studios,0.48,0.19,0.0,0.03,0.7
66,6436,Atelier Ayesha: The Alchemist of Dusk,PS3,2012.0,Role-Playing,Tecmo Koei,0.06,0.04,0.14,0.02,0.27
67,9507,Ape Escape 3,PS2,2005.0,Platform,Sony Computer Entertainment,0.06,0.05,0.0,0.02,0.13
68,10816,ReCore,XOne,2016.0,Action,Microsoft Game Studios,0.06,0.03,0.0,0.01,0.1
69,10169,Eragon,PSP,2006.0,Action,Vivendi Games,0.1,0.0,0.0,0.01,0.11
70,3476,Gex: Enter the Gecko,PS,1998.0,Platform,BMG Interactive Entertainment,0.32,0.22,0.0,0.04,0.58
71,1797,The Lord of the Rings: The Return of the King,XB,2003.0,Action,Electronic Arts,0.71,0.38,0.0,0.05,1.14
72,12809,GRID,DS,,Racing,Codemasters,0.04,0.01,0.0,0.0,0.06
